_id,branch,slot,sem,subcode[0],subcode[1],subcode[2],subcode[3],subcode[4],subcode[5],subcode[6]
645532886c991f17286e25ec,CA,C,7,CST415,CST425,CST435,CST445,CST455,,
645532886c991f17286e25f6,EE,A,7,EET401,,,,,,
645532886c991f17286e260c,CA,C,8,AMT416,CST426,CST436,CST446,AIT456,CST466,AIT476
645532886c991f17286e260d,CA,D,8,CST418,CST428,CST438,CST448,CST458,CST468,CST478
645532886c991f17286e260e,AD,A,8,ADT402,,,,,,
645532886c991f17286e2619,EE,D,8,EET418,EET428,EET438,EET448,EET458,EET468,EET478
645532886c991f17286e262c,CA,B,1,PHT100,CYT100,,,,,
645532886c991f17286e2633,AD,D,1,EST120,EST130,,,,,
645532886c991f17286e2648,CE,E,1,HUN101,,,,,,
645532886c991f17286e2659,CA,F,2,EST102,,,,,,
645532886c991f17286e2541,EE,D,3,EET205,,,,,,
645532886c991f17286e2547,EC,D,3,ECT205,,,,,,
645532886c991f17286e2578,EC,E,4,EST200,HUT200,,,,,
645532886c991f17286e257d,CE,D,4,CET206,,,,,,
645532886c991f17286e258d,CA,B,5,CST303,,,,,,
645532886c991f17286e2593,AD,B,5,CST303,,,,,,
645532886c991f17286e259e,EE,A,5,EET301,,,,,,
645532886c991f17286e25b8,CS,C,6,CST306,,,,,,
645532886c991f17286e25c1,CA,F,6,CAT308,,,,,,
645532886c991f17286e25c8,CC,A,6,CST302,,,,,,
645532886c991f17286e25cb,CC,D,6,CST312,CST322 ,CCT 332,CST342 ,CCT352 ,CDT362 ,CST372
645532886c991f17286e25ef,AD,B,7,AIT413,CST423,CST433,AIT443,ADT453,CST463,CST473
645532886c991f17286e25f8,EE,C,7,EET415,EET425,EET435,EET445,EET455,,
645532886c991f17286e25f9,EE,D,7,MCN401,,,,,,
645532886c991f17286e261c,EC,C,8,ECT416,ECT426,ECT436,ECT446,ECT456,ECT466,ECT476
645532886c991f17286e2622,ME,A,8,MET402,,,,,,
645532886c991f17286e2629,CS,D,1,EST120,EST130,,,,,
645532886c991f17286e262e,CA,D,1,EST120,EST130,,,,,
645532886c991f17286e263c,EE,C,1,EST100,EST110,,,,,
645532886c991f17286e2642,EC,D,1,EST120,EST130,,,,,
645532886c991f17286e265c,AD,C,2,EST100,EST110,,,,,
645532886c991f17286e265d,AD,D,2,EST120,EST130,,,,,
645532886c991f17286e254a,CE,A,3,MAT201,,,,,,
645532886c991f17286e2529,CS,D,3,CST205,,,,,,
645532886c991f17286e252a,CS,E,3,EST200,HUT200,,,,,
